text,label
hola,consulta
holaa,consulta
holaaa,consulta
buenas,consulta
buenas tardes,consulta
buenas noches,consulta
buenos dias,consulta
buen dia tienen atencion,consulta
informacion porfa,consulta
que planes tienen,consulta
que cuentas venden,consulta
hola buenas noches,consulta
alguien me puede ayudar,consulta
quisiera saber que ofrecen,consulta
que servicios manejan,consulta
hola disculpa una consulta,consulta
buenas cual es su horario,consulta
hola siguen atendiendo,consulta
que catalogo tienen,consulta
hola vi su anuncio en facebook,consulta
oye una pregunta,consulta
disculpa la molestia,consulta
hola que tal,consulta
hola alguien ahi,consulta
buenas como estan,consulta
que planes tiene netflix,consulta
cuanto dura la cuenta de disney,consulta
que tipos de perfil tiene hbo,consulta
disney plus tiene precio familiar,consulta
netflix cuantas pantallas permite,consulta
que diferencia hay entre los planes de netflix,consulta
hbo max se puede compartir,consulta
prime video incluye envios gratis tambien,consulta
en netflix que tipos de cuenta hay,consulta
disney plus tiene plan básico,consulta
quiero una cuenta de netflix,pedido
kiero disney plus,pedido
cuanto cuesta el hbo max,pedido
q precio tiene prime video,pedido
tienen disponible netflix premium,pedido
disponivle el disney,pedido
quiero comprar una cuenta,pedido
necesito renovar mi netflix,pedido
me interesa el plan de disney,pedido
cuanto sale una cuenta completa,pedido
quiero pagar mi renovacion,pedido
tienen stock de hbo,pedido
me pasas precios de netflix porfa,pedido
quiero la cuenta premium de disney,pedido
cuanto cuesta,pedido
quiero comprar netflix ya,pedido
me interesa comprar una cuenta,pedido
tienen netflix disponible ahora,pedido
quiero el perfil de disney,pedido
necesito una cuenta urgente,pedido
cuanto cuesta prime video,pedido
tienen cuentas de hbo max,pedido
me gustaria renovar mi cuenta,pedido
quiero pagar ya mismo,pedido
dame precio de netflix,pedido
kiero comprar hbo,pedido
tienen disney plus disponible,pedido
cuanto es por un mes de netflix,pedido
quiero adquirir una cuenta,pedido
me interesa el paquete completo,pedido
tienen promocion de netflix,pedido
quiero saber el precio de disney,pedido
necesito renovar ya,pedido
venden hbo?,pedido
venden netflix?,pedido
venden disney?,pedido
venden prime video?,pedido
tienen hbo disponible?,pedido
tienen netflix disponible?,pedido
hay cuentas de disney?,pedido
hay stock de hbo max?,pedido
manejan netflix?,pedido
ofrecen disney plus?,pedido
no funciona mi cuenta,reclamo
no puedo entrar a netflix,reclamo
se cerro la sesion sola,reclamo
mi cuenta esta bloqueada,reclamo
no carga la app,reclamo
me sale error al iniciar sesion,reclamo
la cuenta que compre no anda,reclamo
no me deja ver nada,reclamo
esta malogrado mi perfil,reclamo
llevo dos dias sin poder entrar,reclamo
mi netflix dejo de funcionar,reclamo
no puedo ver disney plus,reclamo
me saca de la cuenta sola,reclamo
la contraseña no funciona,reclamo
dice que la cuenta no existe,reclamo
se congela la pantalla,reclamo
no reconoce mi perfil,reclamo
perdi acceso a mi cuenta,reclamo
hace dos horas no puedo entrar,reclamo
mi cuenta fue desactivada,reclamo
error al cargar el contenido,reclamo
no responde la aplicacion,reclamo
venden zapatillas,fuera_de_tema
tienen ropa disponible,fuera_de_tema
hacen delivery de comida,fuera_de_tema
venden celulares,fuera_de_tema
alquilan autos,fuera_de_tema
dan clases de ingles,fuera_de_tema
necesito un plomero,fuera_de_tema
tienen laptops en venta,fuera_de_tema
hacen envios de pizza,fuera_de_tema
busco trabajo tienen vacantes,fuera_de_tema
venden polos,fuera_de_tema
tienen delivery de hamburguesas,fuera_de_tema
alquilan departamentos,fuera_de_tema
hacen mudanzas,fuera_de_tema
venden perfumes,fuera_de_tema
tienen servicio de taxi,fuera_de_tema
dan clases de matematica,fuera_de_tema
venden mascotas,fuera_de_tema
hacen reparaciones de celulares,fuera_de_tema
tienen curso de ingles,fuera_de_tema
eres un inutil,ofensivo
esto es una estafa maldito,ofensivo
que mierda de servicio,ofensivo
no sirves para nada idiota,ofensivo
puta esto no funciona nunca,ofensivo
son unos basura,ofensivo
oye imbecil respondeme rapido,ofensivo
esto es una porqueria,ofensivo
son unos estafadores de mierda,ofensivo
que servicio tan pendejo,ofensivo
vales verga,ofensivo
eres un huevon,ofensivo
esto es una mierda de negocio,ofensivo
malparido devuelveme mi plata,ofensivo
no seas imbecil respondeme,ofensivo
ya pe no jodas,ofensivo
que weba de servicio,ofensivo
puros choros,ofensivo
me estan viendo la cara,ofensivo
esto es un robo,ofensivo
jaja,spam
ok,spam
👍,spam
jsjsjs,spam
asdasd,spam
prueba,spam
hola hola hola hola,spam
jajaja,spam
xd,spam
jsjs,spam
ninguna,spam
test,spam
.,spam
ya,spam
vale,spam
👌,spam
mmm,spam
jeje,spam
k,spam
no c,spam
aja,spam
mmju,spam
klk,spam
ajaja,spam
no entendi,spam
no c bro,spam
netflix tiene plan con anuncios?,consulta
cual es la diferencia entre disney plus estandar y premium,consulta
el plan basico de hbo max trae publicidad,consulta
prime video se puede ver en tv,consulta
cuantos dispositivos permite el plan de netflix,consulta
disney plus incluye marvel y star wars,consulta
que necesito para activar mi cuenta,consulta
el pago es mensual o anual,consulta
cuantas personas pueden usar la cuenta a la vez,consulta
puedo ver en dos televisores al mismo tiempo,consulta
que incluye el plan premium de hbo max,consulta
como cambio la contraseña de mi cuenta,consulta
que pasa con mi perfil cuando acaba el plan,consulta
se puede usar la cuenta en otro pais,consulta
